"","project","name_old","study","no","chip","well","plate","sampleID","type","subtype","controltype","collector","host_order","host_family","host_subfamily","host_tribe","host_genus","group_tree","host_species","sex","location","sublocation","country","weight","date","year","month","day","month_day","kw","BOLD_ID","note","plot_ID","elevation","temp_week","latitude","longitude","state.province","region","sector","habitat","sample_day","CFU_Caput","CFU_Thorax","CFU_Abdomen","logCFU","tissue","CFUamount","storage","description","tag","genus_tag","group","treatment","PCR","Accession","Tax.ID","BioProject","time","exact_site","trap","bc_family","bc_genus","bc_species","combined_genus","genus_tree","group_tree.1","sample_id","is.neg","is.pos"
"A4.200.20221205.01573_S220","16S_AW_Butterfly_Peru_bees","A4_200_20221205_01573","Bees",NA,"A4_bees_5","E5",17,"1573","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Meliponini","Meliponini","","","Paucartambo","Trocha Union","Peru","","20221205",NA,NA,NA,NA,NA,"","","200",2000,15.70223434,"-13.07377 S","-71.55938 W","Paucartambo","","Kosnipata","Steep, forest, low but mostly closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",9000,"Trocha Union","netting",NA,NA,NA,NA,"Meliponini","Meliponini","A4_200_20221205_01573",FALSE,FALSE
"A4.200.20221205.01574_S221","16S_AW_Butterfly_Peru_bees","A4_200_20221205_01574","Bees",NA,"A4_bees_5","E6",17,"1574","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Meliponini","Meliponini","","","Paucartambo","Trocha Union","Peru","","20221205",NA,NA,NA,NA,NA,"","","200",2000,15.70223434,"-13.07377 S","-71.55938 W","Paucartambo","","Kosnipata","Steep, forest, low but mostly closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",9000,"Trocha Union","netting",NA,NA,NA,NA,"Meliponini","Meliponini","A4_200_20221205_01574",FALSE,FALSE
"A4.200.20221205.01575_S223","16S_AW_Butterfly_Peru_bees","A4_200_20221205_01575","Bees",NA,"A4_bees_5","E7",17,"1575","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Plebeia","Plebeia","","","Paucartambo","Trocha Union","Peru","","20221205",NA,NA,NA,NA,NA,"","","200",2000,15.70223434,"-13.07377 S","-71.55938 W","Paucartambo","","Kosnipata","Steep, forest, low but mostly closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",9000,"Trocha Union","netting","Apidae","Plebeia","Plebeia_frontalis","Plebeia","Plebeia","Plebeia","A4_200_20221205_01575",FALSE,FALSE
"A4.200.20221205.01576_S224","16S_AW_Butterfly_Peru_bees","A4_200_20221205_01576","Bees",NA,"A4_bees_5","E8",17,"1576","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Apini","Apis","Apis","melifera melifera","","Paucartambo","Trocha Union","Peru","","20221205",NA,NA,NA,NA,NA,"","","200",2000,15.70223434,"-13.07377 S","-71.55938 W","Paucartambo","","Kosnipata","Steep, forest, low but mostly closed canopy",NA,NA,NA,NA,NA,"","","","","","","Apis","","","",NA,"",9000,"Trocha Union","netting","Apidae","Apis","Apis melifera","Apis","Apis melifera","Apis","A4_200_20221205_01576",FALSE,FALSE
"A4.200.20221205.01577_S225","16S_AW_Butterfly_Peru_bees","A4_200_20221205_01577","Bees",NA,"A4_bees_5","E9",17,"1577","sample","Bees","","Andrea","Hymenoptera","Halictidae","Halictinae","Halictinae","Halictinae","Halictidae_diurnal","","","Paucartambo","Trocha Union","Peru","","20221205",NA,NA,NA,NA,NA,"","","200",2000,15.70223434,"-13.07377 S","-71.55938 W","Paucartambo","","Kosnipata","Steep, forest, low but mostly closed canopy",NA,NA,NA,NA,NA,"","","","","","","Halictidae_diurnal","","","",NA,"",9000,"Trocha Union","netting",NA,NA,NA,NA,"Halictidae_diurnal","Halictidae_diurnal","A4_200_20221205_01577",FALSE,FALSE
"A4.200.20221205.01578_S226","16S_AW_Butterfly_Peru_bees","A4_200_20221205_01578","Bees",NA,"A4_bees_5","E10",17,"1578","sample","Bees","","Andrea","Hymenoptera","Halictidae","Halictinae","Augochlorini","Neocorynura","Neocorynura","","","Paucartambo","Trocha Union","Peru","","20221205",NA,NA,NA,NA,NA,"","","200",2000,15.70223434,"-13.07377 S","-71.55938 W","Paucartambo","","Kosnipata","Steep, forest, low but mostly closed canopy",NA,NA,NA,NA,NA,"","","","","","","Halictidae_diurnal","","","",NA,"",9000,"Trocha Union","netting","","","",NA,"Neocorynura","Neocorynura","A4_200_20221205_01578",FALSE,FALSE
"A4.200.20221205.01579_S227","16S_AW_Butterfly_Peru_bees","A4_200_20221205_01579","Bees",NA,"A4_bees_5","E11",17,"1579","sample","Bees","","Andrea","Hymenoptera","Halictidae","Halictinae","Halictinae","Halictinae","Halictidae_diurnal","","","Paucartambo","Trocha Union","Peru","","20221205",NA,NA,NA,NA,NA,"","","200",2000,15.70223434,"-13.07377 S","-71.55938 W","Paucartambo","","Kosnipata","Steep, forest, low but mostly closed canopy",NA,NA,NA,NA,NA,"","","","","","","Halictidae_diurnal","","","",NA,"",9000,"Trocha Union","netting",NA,NA,NA,NA,"Halictidae_diurnal","Halictidae_diurnal","A4_200_20221205_01579",FALSE,FALSE
"A4.224.20221205.01371_S103","16S_AW_Butterfly_Peru_bees","A4_224_20221205_01371","Bees",NA,"A4_bees_4","D5",15,"1371","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Apini","Apis","Apis","","","Paucartambo","Trocha Union","Peru","","20221205",NA,NA,NA,NA,NA,"","","224",2250,14.16904026,"-13.081 S","-71.566 W","Paucartambo","","Kosnipata","Steep, forest, low but mostly closed canopy, bushland",NA,NA,NA,NA,NA,"","","","","","","Apis","","","",NA,"",1200,"Trocha Union","netting","Apidae","Apis","Apis melifera","Apis","Apis melifera","Apis","A4_224_20221205_01371",FALSE,FALSE
"A4.224.20221207.01522_S72","16S_AW_Butterfly_Peru_bees","A4_224_20221207_01522","Bees",NA,"A4_bees_5","A2",17,"1522","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Apini","Apis","Apis","melifera melifera","","Paucartambo","Trocha Union","Peru","","20221207",NA,NA,NA,NA,NA,"","","224",2250,14.16904026,"-13.081 S","-71.566 W","Paucartambo","","Kosnipata","Steep, forest, low but mostly closed canopy, bushland",NA,NA,NA,NA,NA,"","","","","","","Apis","","","",NA,"",9000,"Trocha Union","netting","Apidae","Apis","Apis melifera","Apis","Apis melifera","Apis","A4_224_20221207_01522",FALSE,FALSE
"A4.224.20221207.01523_S74","16S_AW_Butterfly_Peru_bees","A4_224_20221207_01523","Bees",NA,"A4_bees_5","A3",17,"1523","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Apini","Apis","Apis","","","Paucartambo","Trocha Union","Peru","","20221207",NA,NA,NA,NA,NA,"","","224",2250,14.16904026,"-13.081 S","-71.566 W","Paucartambo","","Kosnipata","Steep, forest, low but mostly closed canopy, bushland",NA,NA,NA,NA,NA,"","","","","","","Apis","","","",NA,"",9000,"Trocha Union","netting","Apidae","Apis","Apis melifera","Apis","Apis melifera","Apis","A4_224_20221207_01523",FALSE,FALSE
